p,n,total_time,comp_time,comm_time,overhead,cost
22,6,0.2560,0.0017,0.2393,0.0150,770
22,6,0.2549,0.0016,0.2195,0.0338,1053
22,6,0.2604,0.0015,0.2430,0.0159,943
22,6,0.2631,0.0022,0.2400,0.0208,1071
22,6,0.2567,0.0017,0.2195,0.0355,1163
22,6,0.2527,0.0013,0.2208,0.0306,854
22,6,0.2501,0.0016,0.2143,0.0342,932
22,6,0.2494,0.0016,0.2464,0.0014,1183
22,6,0.2536,0.0014,0.2509,0.0014,784
22,6,0.2558,0.0016,0.2337,0.0206,1095
22,6,0.2573,0.0015,0.2211,0.0347,1064
22,6,0.2574,0.0020,0.2208,0.0346,1286
22,6,0.2548,0.0016,0.2194,0.0338,1059
22,6,0.2513,0.0016,0.2197,0.0300,1071
22,6,0.2580,0.0015,0.2225,0.0340,1023
22,6,0.2435,0.0015,0.2174,0.0245,1045
22,6,0.2517,0.0015,0.2228,0.0273,849
22,6,0.2572,0.0015,0.2543,0.0014,847
22,6,0.2585,0.0017,0.2193,0.0375,1081
24,6,0.3095,0.0019,0.2920,0.0157,1138
24,6,0.3120,0.0017,0.3087,0.0016,1067
24,6,0.3003,0.0016,0.2639,0.0349,968
24,6,0.3103,0.0018,0.2751,0.0334,959
24,6,0.3027,0.0016,0.2682,0.0329,984
24,6,0.3008,0.0017,0.2637,0.0354,1135
24,6,0.3198,0.0021,0.2737,0.0440,923
24,6,0.3026,0.0019,0.2938,0.0069,932
24,6,0.3105,0.0016,0.3072,0.0017,1098
24,6,0.3209,0.0022,0.2978,0.0209,1273
24,6,0.3130,0.0017,0.2848,0.0265,1080
24,6,0.3055,0.0017,0.2689,0.0349,1172
24,6,0.3043,0.0016,0.2732,0.0295,840
24,6,0.3155,0.0017,0.3071,0.0067,1194
24,6,0.3137,0.0021,0.3098,0.0018,1144
24,6,0.3200,0.0016,0.3118,0.0067,906
24,6,0.3075,0.0015,0.2859,0.0201,956
24,6,0.3042,0.0016,0.2762,0.0263,1181
24,6,0.3246,0.0021,0.2860,0.0365,1144
24,6,0.3080,0.0016,0.2718,0.0345,743
24,6,0.3045,0.0017,0.2857,0.0171,1031
24,6,0.3131,0.0016,0.3097,0.0018,1008
24,6,0.3034,0.0014,0.2854,0.0166,1014
24,6,0.3019,0.0017,0.2701,0.0300,1114
24,6,0.3239,0.0020,0.2919,0.0299,1142
24,6,0.3132,0.0016,0.3093,0.0023,960
24,6,0.3131,0.0020,0.2768,0.0343,1044
24,6,0.3039,0.0016,0.2789,0.0234,918
24,6,0.3050,0.0016,0.2681,0.0354,862
24,6,0.3100,0.0016,0.2926,0.0157,930
26,6,0.3645,0.0017,0.3321,0.0308,1219
26,6,0.3533,0.0017,0.3262,0.0255,1145
26,6,0.3825,0.0023,0.3392,0.0410,1499
26,6,0.3477,0.0019,0.3392,0.0066,1578
26,6,0.3511,0.0017,0.3339,0.0156,1086
26,6,0.3612,0.0018,0.3576,0.0019,872
26,6,0.3571,0.0016,0.3161,0.0394,668
26,6,0.3500,0.0017,0.3228,0.0255,1279
26,6,0.3665,0.0020,0.3627,0.0018,1565
26,6,0.3586,0.0018,0.3411,0.0157,889
26,6,0.3577,0.0016,0.3123,0.0439,1071
26,6,0.3613,0.0020,0.3200,0.0393,1207
26,6,0.3592,0.0017,0.3557,0.0018,1139
26,6,0.3512,0.0018,0.3338,0.0155,1050
26,6,0.3528,0.0019,0.3491,0.0018,918
26,6,0.3574,0.0018,0.3388,0.0168,1365
26,6,0.3677,0.0016,0.3594,0.0068,1102
26,6,0.3680,0.0020,0.3441,0.0219,1359
26,6,0.3567,0.0017,0.3483,0.0067,839
26,6,0.3574,0.0020,0.3486,0.0068,1123
